#{"t_start": 1716009810.7205896, "env_id": "None"}
r,l,t
51834.09859,108,1.676191
48517.971912,101,2.487846
48460.906011,101,3.366763
48979.666223,102,4.437758
49909.104106,104,5.368956
53639.293645,111,9.996642
53639.293645,111,10.823181
-163699.038973,1000,19.474394
53639.293645,111,20.253696
53639.293645,111,21.185872
