#{"t_start": 1716009810.7202559, "env_id": "None"}
r,l,t
-54180.902345,1000,9.114854
53639.293644,111,9.994669
53639.293644,111,10.821765
-123555.15954,1000,19.472605
53639.293644,111,20.252393
53639.293644,111,21.184843
