#{"t_start": 1715849260.7163992, "env_id": "None"}
r,l,t
92884.954092,206,2.34195
95571.966015,211,9.354609
95571.966015,211,10.742066
-114679.364255,1000,17.977251
95571.966015,211,19.330138
95571.966015,211,20.56301
